主字段,章节,等级,知识解析,拓展解析
捻转补泻,针灸学::刺灸法::毫针刺法::补泻手法,1,补法::下针得气后，以[[拇指左转（向前）时用力重、右转（向后）用力轻]]，捻转角度小，频率慢，操作时间短者为补法<br>###泻法::以[[拇指右转（向后）时用力重，左转（向前）时用力轻]]，捻转角度大，频率快，操作时间长者为泻法,特点::捻转补泻是以捻转方向和力度来区分补泻
提插补泻,针灸学::刺灸法::毫针刺法::补泻手法,1,补法::得气后，先浅后深，[[重插轻提]]，以下插用力为主，提插幅度小，频率慢，操作时间短者为补法<br>###泻法::先深后浅，[[轻插重提]]，以上提用力为主，提插幅度大，频率快，操作时间长者为泻法,特点::提插补泻是以提插的力度和幅度来区分补泻
疾徐补泻,针灸学::刺灸法::毫针刺法::补泻手法,1,补法::[[进针时徐入，少捻转，疾速出针]]者为补法<br>###泻法::[[进针时速入，多捻转，徐出针]]者为泻法,特点::疾徐补泻是以进针和出针的速度来区分补泻
迎随补泻,针灸学::刺灸法::毫针刺法::补泻手法,1,补法::进针时，[[针尖随着经脉循行去的方向刺入]]为补法<br>###泻法::[[针尖迎着经脉循行来的方向刺入]]为泻法,特点::迎随补泻是以针尖方向与经脉循行方向的关系来区分补泻
呼吸补泻,针灸学::刺灸法::毫针刺法::补泻手法,1,补法::病人[[呼气时进针，吸气时出针]]为补法<br>###泻法::[[吸气时进针，呼气时出针]]为泻法,特点::呼吸补泻是结合患者呼吸进行补泻
开阖补泻,针灸学::刺灸法::毫针刺法::补泻手法,1,补法::出针后迅速[[揉按（按闭）针孔]]为补法<br>###泻法::出针时[[摇大针孔]]而不立即揉按为泻法,特点::开阖补泻是根据出针时是否按闭针孔来区分补泻
平补平泻,针灸学::刺灸法::毫针刺法::补泻手法,1,定义::进针得气后[[均匀地提插、捻转]]后即可出针,应用::适用于虚实不明显的病证
晕针,针灸学::刺灸法::毫针刺法::针刺异常情况,1,表现::针刺时或留针过程中，患者突然出现精神疲倦，头晕目眩，面色苍白，恶心欲吐，多汗，心慌，四肢发冷，血压下降，脉象沉细，或神志昏迷，晕倒在地<br>###处理::1.停止针刺，将针全部起出；2.使患者仰卧，头部放低；3.轻者饮温开水或糖水；4.重者刺人中、素髎、内关、足三里等穴<br>###预防::初次治疗、紧张或虚弱者，应先做好解释；体位最好采用卧位；若饥饿、疲劳、大渴时，应令其进食、休息、饮水后再予针刺,重要性::晕针是最常见的针刺异常情况
滞针,针灸学::刺灸法::毫针刺法::针刺异常情况,1,表现::行针或留针后[[医者感觉针下涩滞，捻转不动，提插、出针均感困难]]，若勉强捻转、提插时，则患者痛剧<br>###处理::1.嘱其不要紧张，使局部肌肉放松；2.在局部循按或叩弹针柄，或在附近再刺一针；3.若行针不当，或单向捻转而致者，可向相反方向将针捻回<br>###预防::做好解释，消除患者顾虑；注意行针的操作手法，避免单向捻转,原因::多因患者精神紧张或医者捻转不当引起
血肿,针灸学::刺灸法::毫针刺法::针刺异常情况,1,表现::出针后针孔出血，针刺部位肿胀疼痛，继则皮肤呈现[[青紫色]]<br>###处理::1.若微量的皮下出血而局部小块青紫时，一般不必处理；2.若局部肿胀疼痛较剧，青紫面积大而影响到活动功能时，在24小时内先冷敷止血，24小时之后，再做热敷<br>###预防::仔细检查针具，熟悉人体解剖部位，避开血管针刺；出针时立即用消毒干棉球按压针孔,处理原则::先冷敷后热敷
创伤性气胸,针灸学::刺灸法::毫针刺法::针刺异常情况,1,表现::轻者出现胸闷、胸痛、心悸、呼吸不畅；重者出现呼吸困难，唇甲发绀、血压下降等症状。体格检查时，可见患侧胸部肋间隙变宽，肺脏叩诊过清音，听诊患侧呼吸音减弱或消失<br>###处理::1.一旦发生气胸，应立即出针；2.患者采取半卧位休息；3.密切观察病情，随时对症处理；4.对严重者需及时抢救，如胸腔闭式引流排气<br>###预防::医者必须熟悉人体及穴位局部解剖；患者体位适当；严格掌握进针的深度、角度；掌握特殊穴位的针刺禁忌,严重性::气胸是针刺最严重的异常情况之一
刺伤内脏,针灸学::刺灸法::毫针刺法::针刺异常情况,1,表现::刺伤内脏主要症状是疼痛和出血。刺伤心脏时可出现胸痛；刺伤肝、脾时可引起内出血；刺伤肾脏时可有腰痛、血尿<br>###处理::1.损伤轻者，卧床休息后，一般即可自愈；2.如果损伤严重或有继续出血倾向者，应用止血药等对症处理；3.若损伤严重，出血较多，出现失血性休克时，则必须迅速进行输血等急救<br>###预防::医者必须熟悉人体解剖学、腧穴学；掌握腧穴结构，明确腧穴下的脏器组织,预防关键::熟悉解剖，掌握针刺深度
施术部位注意事项,针灸学::刺灸法::毫针刺法::注意事项,1,避开重要脏器::对胸、胁、腰、背、缺盆等部位的腧穴，一般不宜直刺、深刺，以免伤及脏腑<br>###避开重要器官组织::眼区穴位，针刺不宜大幅度提插、捻转；顶部深层为延髓，脊柱的深层为脊髓，均不可深刺<br>###避开特殊部位::大血管附近的腧穴，如人迎、委中等，应避开血管针刺；乳中、脐中一般不刺；皮肤有感染、溃疡、创伤、瘢痕或肿瘤的部位，不宜针灸,重要性::施术部位的注意事项是防止针刺异常情况的关键
患者状态注意事项,针灸学::刺灸法::毫针刺法::注意事项,1,体质状态::初病、体质强壮者，针灸治疗量宜大；久病、体质虚弱者和老人、儿童，针灸治疗量宜小<br>###机能状态::对于大醉、大怒、饥饿、疲劳、精神过度紧张的患者，不宜立即针灸。妇女行经时，若非为了调经，亦慎用针刺。孕妇尤其有习惯性流产史者，应慎用针灸治疗<br>###孕妇禁忌::孕妇下腹、腰骶部及三阴交、合谷、昆仑、至阴等具有通经活血功能的腧穴，应禁行针刺,原则::根据患者状态调整针灸治疗量
病情性质注意事项,针灸学::刺灸法::毫针刺法::注意事项,1,病情程度::对身体瘦弱，气虚血亏的患者，手法不宜过强；气血严重亏虚者，不宜针刺；形体极度消瘦者，不宜针刺<br>###疾病性质::表证宜浅刺，表寒者应久留针，表热者应疾出针；里证宜深刺，里寒者可用补法、灸法，里热者应行泻法,原则::根据病情性质选择针刺方法
灸法的种类,针灸学::刺灸法::灸法,1,艾炷灸::包括直接灸（无瘢痕灸、瘢痕灸）和间接灸（隔姜灸、隔蒜灸、隔盐灸、隔附子饼灸等）<br>###艾条灸::包括悬起灸（温和灸、雀啄灸、回旋灸）和实按灸（太乙神针、雷火神针）<br>###其他灸法::灯火灸、天灸（白芥子灸、细辛灸、天南星灸、蒜泥灸等）,分类::灸法分为艾灸和其他灸法两大类
灸法的作用,针灸学::刺灸法::灸法,1,防病保健::灸法可以激发人体正气，增强抗病能力，无病时施灸有防病保健的作用<br>###温经散寒::灸火的温和热力具有直接的温经通络、驱散寒邪之功，灸法更适合治寒性病证<br>###扶阳固脱::灸火的热力具有扶助阳气、举陷固脱的功能，阳气下陷或欲脱之危证，可用灸法<br>###消瘀散结::艾灸具有行气活血、消瘀散结的作用<br>###引热外行::灸火的温热能使皮肤腠理开放，毛窍通畅，引热外行,特点::灸法善于温补，适合寒证和虚证
瘢痕灸,针灸学::刺灸法::灸法,1,定义::又称化脓灸，临床上多用小艾炷<br>###操作::施灸前先在施术部位涂以少量的凡士林或大蒜汁以增强黏附和刺激作用，然后放置艾炷，从上端点燃，烧近皮肤时患者有灼痛感，可用手在穴位四周拍打以减轻疼痛。可灸3～9壮。灸毕，在施灸穴位上贴敷消炎药膏，大约1周可化脓形成灸疮。灸疮5～6周愈合，留有瘢痕<br>###适用范围::临床常用于治疗哮喘、肺痨、瘰疬等慢性顽疾,注意::灸后留有瘢痕，灸前必须征求患者的同意及合作
无瘢痕灸,针灸学::刺灸法::灸法,1,定义::又称无化脓灸，因施灸后皮肤不起疱，不留瘢痕，故名<br>###操作::先在所灸部位涂以少量的凡士林，使艾炷便于黏附，后将大小适宜的艾炷置于腧穴上点燃施灸，当艾炷燃剩2/5左右，患者感到烫时，用镊子将艾炷夹去，换炷再灸，一般灸3～6壮，以局部皮肤充血、红晕为度<br>###适用范围::此法适用于[[慢性虚寒性疾病]]，如哮喘、眩晕、慢性腹泻、风寒湿痹和风湿顽痹等,特点::施灸后不留瘢痕，患者痛苦较小
隔姜灸,针灸学::刺灸法::灸法,1,定义::将鲜姜切成直径大约2～3厘米，厚约0.2～0.3厘米的薄片，中间以针刺数孔，后将姜片置于应灸部位，再将艾炷放在姜片上点燃施灸<br>###操作::当艾炷燃尽，可易炷再灸。一般6～9壮，以皮肤红晕而不起水疱为度<br>###适用范围::[[温胃止呕，散寒止痛]]。常用因寒而致的呕吐、腹痛、风寒湿痹（痛痹）、便秘（寒秘）、外感表证等病,特点::隔姜灸应用较广，温胃散寒效果好
隔蒜灸,针灸学::刺灸法::灸法,1,定义::将鲜大蒜头切成厚约0.2～0.3厘米的薄片，中间以针刺数孔，置于应灸部位，后将艾炷放在蒜片上，点燃施灸<br>###操作::当艾炷燃尽，易炷再灸，一般5～7壮<br>###适用范围::[[清热解毒，杀虫]]。此法多用于治疗瘰疬、肺结核、腹中积块及未溃疮疡（肿疡初起）等,特点::隔蒜灸善于清热解毒
隔盐灸,针灸学::刺灸法::灸法,1,定义::因本法只用于脐部，又称神阙灸。用纯净干燥的食盐填敷于脐部，使其与脐平，上置艾炷施灸<br>###操作::如患者稍感灼痛，即更换艾炷。也可于盐上放置姜片后再施灸，一般灸5～9壮<br>###适用范围::[[回阳救逆，固脱]]。临床上常用于治疗急性寒性腹痛、吐泻、痢疾、小便不利、中风脱证等,特点::隔盐灸善于回阳固脱
隔附子饼灸,针灸学::刺灸法::灸法,1,定义::以附子片或附子药饼作为间隔物，一般灸3～9壮<br>###适用范围::附子温肾补阳，故此法多用于治疗[[命门火衰]]而致的阳痿、早泄、遗精、宫寒不孕和疮疡久溃不敛的病证,特点::隔附子饼灸善于温肾壮阳
温和灸,针灸学::刺灸法::灸法,1,定义::施灸时将艾卷的一端点燃，对准应灸的部位，约距皮肤2～3厘米左右，进行熏烤，使患者局部有温热感而无灼痛感为宜<br>###操作::每处灸10～15分钟为宜，至皮肤红晕为度<br>###适用范围::温和灸、雀啄灸、回旋灸一般病证均可采用，但[[温和灸多用于治疗慢性病证]],特点::温和灸热度温和，患者舒适
雀啄灸,针灸学::刺灸法::灸法,1,定义::施灸时，将艾卷点燃的一端与施灸部位的皮肤并不固定在一定距离，而是像鸟雀啄食一样，一上一下活动地施灸<br>###适用范围::[[雀啄灸、回旋灸多用于治疗急性病证]],特点::雀啄灸刺激量较大
回旋灸,针灸学::刺灸法::灸法,1,定义::施灸时，艾卷点燃的一端与施灸部位的皮肤虽保持一定的距离，但不固定，而是向左右方向移动或反复旋转地施灸<br>###适用范围::多用于治疗[[急性病证]],特点::回旋灸刺激面积较大
温针灸,针灸学::刺灸法::灸法,1,定义::是针刺与艾灸相结合的方法，适用于既需要针刺留针，又需要施灸的疾病<br>###操作::在针刺得气后，将针留在适当的深度，在针柄上穿置一段长约2厘米的艾卷施灸，每穴每次可施灸1～3壮，施灸完毕后再将针取出<br>###适用范围::适用于既需要针刺留针又需要施灸的疾病,特点::温针灸兼具针刺和艾灸的双重作用
灸法注意事项,针灸学::刺灸法::灸法,1,先后顺序::一般：先灸阳经，后灸阴经；先灸上部，再灸下部。壮数：先灸少而后灸多。大小：先灸艾炷小者而后灸大者<br>###禁忌::面部穴位、乳头、大血管等处均不宜使用直接灸；孕妇的腹部和腰骶部不宜施灸<br>###灸后处理::施灸过量，时间过长，局部出现水疱，只要不擦破，可任其自然吸收；瘢痕灸者，在灸疮化脓期间，疮面局部勿用手搔，以保护痂皮,原则::施灸应注意先后顺序和禁忌
拔罐法概述,针灸学::刺灸法::拔罐法,1,定义::拔罐法是以罐为工具，利用燃烧、抽气等方法促使罐内产生负压，使之吸附于体表的腧穴或疼痛部位，通过负压、温热等作用，使局部皮肤充血、淤血，达到防治疾病的目的的方法<br>###罐的种类::[[玻璃罐、竹罐、陶罐、抽气罐]]<br>###吸罐的方法::火吸法（闪火法、投火法、滴酒法、贴棉法）、水罐法、抽气法,作用::开泄腠理、祛风散寒、通经活络、行气活血、祛瘀生新、消肿止痛
闪罐法,针灸学::刺灸法::拔罐法,1,定义::将罐吸拔住后，立即起下，如此反复多次，直至皮肤潮红、充血或瘀血为度<br>###操作要点::①选取适宜体位；②选用大小适宜的罐具；③用镊子夹紧95%的酒精棉球点燃；④如此反复多次地拔住起下、起下拔住<br>###适应范围::多用于[[局部皮肤麻木、疼痛或功能减退等疾患]]，尤其适用于不宜留罐的患者或部位，如小儿、面瘫患者的面部等,特点::闪罐法刺激量较小，适合敏感部位
留罐法,针灸学::刺灸法::拔罐法,1,定义::又称坐罐法。将罐具吸拔在皮肤留置5～15分钟，然后将罐起下<br>###操作要点::①选取适宜体位；②选用大小适宜的罐具；③用止血钳或镊子夹住95%的酒精棉球点燃；④留罐时间，以局部皮肤红润、充血或瘀血为度，一般为10～15分钟<br>###适应范围::[[一般疾病均可应用]]，或用于平素保健，解除疲劳，视情况用单罐或多罐,特点::留罐法是最常用的拔罐方法
走罐法,针灸学::刺灸法::拔罐法,1,定义::又称推罐法。一般用于面积较大、肌肉丰厚的部位，如腰背部、大腿部等<br>###操作要点::操作前需在治疗部位涂抹润滑油（凡士林、红花油等）。选用口径较大的玻璃罐，用闪火法将罐吸住后，再以手握住罐底，稍倾斜，即在[[走罐方向]]的皮肤表面涂润滑油，将罐吸拔于体表，推拉走罐，如此反复推拉、移动，直至皮肤出现潮红或深红时，将罐起下<br>###注意事项::①选取适宜体位；②选用大小适宜的罐具；③应选用闪火法；④走罐时，罐的走行应与走罐方向一致<br>###适应范围::[[走罐法]]多用于治疗急性热病、瘫痪、麻痹、肌肉萎缩、腰背风湿痹痛等症，常用于外感表证、颈肩腰腿痛、肌肉萎缩等,
刺血拔罐法,针灸学::刺灸法::拔罐法,1,定义::刺血拔罐法，又称刺络拔罐法或刺血拔罐法。即在应拔罐部位的皮肤消毒后，用[[三棱针]]、皮肤针或粗毫针点刺出血或叩刺出血后，再行拔罐<br>###操作要点::在拔罐部位的皮肤消毒后，用三棱针、皮肤针或粗毫针点刺出血或叩刺出血后，再行拔罐，留罐5～10分钟，每处出血量约1～3毫升。出血量的多少，根据疾病的需要和部位的肌肉厚薄而定，一般以血液颜色呈暗红色为度<br>###适应范围::多用于[[各种急慢性软组织损伤]]、神经性皮炎、皮肤瘙痒、丹毒、坐骨神经痛、哮喘、头痛以及急慢性扭伤等,
拔罐法注意事项,针灸学::刺灸法::拔罐法,1,"注意要点::拔罐时要选择适当体位和肌肉丰满的部位,根据所拔部位的面积大小而选择大小适宜的罐具,用火罐时须注意勿灼伤或烫伤皮肤,皮肤有过敏、溃疡、水肿及大血管分布部位，不宜拔罐,高热抽搐者，不宜拔罐；孕妇的腹部、腰骶部不宜拔罐",特点::拔罐法注意事项共5条
三棱针法概述,针灸学::刺灸法::三棱针法,1,定义::三棱针法是用三棱针刺破穴位或特定部位的[[浅表血管]]，放出少量血液以防治疾病的方法<br>###适应范围::三棱针法具有[[通经活络、开窍泄热、调和气血、消肿止痛]]等作用。凡各种实证、热证、瘀血、疼痛等均可应用。常用于某些急症，如昏厥、高热、中暑、中风闭证、咽喉肿痛、目赤肿痛、顽癣、疖肿初起、瘀证、头痛、指（趾）麻木等,
点刺法,针灸学::刺灸法::三棱针法,1,定义::点刺法是三棱针刺法中[[最常用]]的方法。是在俞穴部位迅速点刺，放出少量血液或挤出少量黏液<br>###操作要点::①选取适宜体位；②医者双手常规消毒；③针刺部位常规消毒；④针刺时，医者左手拇指、食指、中指三指夹紧被刺部位或穴位，右手持针，用拇指、食指两指捏住针柄、中指指腹紧靠针身下端，针尖露出3～5毫米，对准已消毒的部位或穴位，刺入2～3毫米深<br>###适应范围::用于[[急症、实证、热证]]，如高热、中风闭证、昏厥、咽喉肿痛、目赤肿痛、指（趾）麻木等,
刺络法,针灸学::刺灸法::三棱针法,1,定义::刺络法是用三棱针刺[[络脉]]出血的方法<br>###操作要点::先用橡皮管结扎在针刺部位上端（近心端），用拇指推压被刺部位下端，然后用三棱针对准刺络部位，刺入脉中2～3毫米，再迅速退针，使其出血少许，一般出血量以1～2毫升为宜，后按压止血<br>###适应范围::用于[[急性吐泻]]、急性中暑、高热、中风闭证、昏厥、目赤肿痛、咽喉肿痛、指（趾）麻木等,
散刺法,针灸学::刺灸法::三棱针法,1,定义::散刺法又称[[豹纹刺]]，是在病变局部周围进行多点点刺的方法<br>###操作要点::根据病变部位大小的不同，可刺10～20针，由病变外缘环形向中心点刺，以排出瘀血或水肿<br>###适应范围::用于[[局部瘀血、水肿]]、顽癣、疖肿初起等,
挑刺法,针灸学::刺灸法::三棱针法,1,定义::挑刺法是用三棱针挑断[[皮下纤维组织]]以治疗疾病的方法<br>###操作要点::选取适宜体位，选取反应点，常规消毒，用三棱针刺入反应点皮下，将针身倾斜并轻轻提高，挑断皮下部分白色纤维组织，挑刺后，用无菌干棉球按压片刻止血<br>###适应范围::多用于[[肩周炎、胃痛、颈椎综合征]]及部分皮肤病如痤疮、白癜风等,
皮肤针法概述,针灸学::刺灸法::皮肤针法,1,定义::皮肤针法是用特制的皮肤针叩刺[[体表的一定部位]]以治疗疾病的方法<br>###适应范围::皮肤针法具有[[疏通经络，调节脏腑功能]]的作用。临床上应用十分广泛，常用于头痛、胁痛、脊背痛、腰腿痛、痹证、失眠、胃肠病、高血压、神经性皮炎、斑秃、顽癣等<br>###针头::皮肤针是丛针浅刺的一种方法，古代称为[[毛刺]]、扬刺、半刺。现代皮肤针因其针头的形状和所含针数的不同，又分别称为梅花针（5枚针）和七星针（7枚针）,
皮肤针操作要点,针灸学::刺灸法::皮肤针法,1,"操作要点::①针具检查：针尖必须平齐、无钩；②刺法：将针具和皮肤消毒后，针尖对准叩刺部位，运用手腕的弹力，均匀而有节奏地弹刺，使针尖刺入皮肤后再抬起，如此反复弹刺<br>###刺激强度::[object Object]<br>###刺激强度与适应证::轻刺：适用于头面部、久病、体弱患者,中刺：适用于一般部位、一般疾病,重刺：适用于背部、四肢肌肉丰厚处、年轻体强、实证患者",
皮肤针治疗部位,针灸学::刺灸法::皮肤针法,1,穴位叩刺::按体针取穴原则，每次选用2～3个穴位进行皮肤针治疗<br>###部位叩刺::常用于脊柱两侧（背俞穴），是皮肤针治疗的常规部位<br>###循经叩刺::循经脉循行路线进行叩刺，常用于项背腰部的督脉和膀胱经<br>###重点叩刺::在脊柱两侧及其他特定部位进行重点叩刺,注意事项::注意检查针具、调整刺激强度，消毒
电针法概述,针灸学::刺灸法::电针法,1,定义::电针法是在[[毫针针刺]]得气的基础上，在针上通以微量低频脉冲电流，以毫针代替电极刺激穴位的一种方法<br>###电针仪器::常用的电针仪器是电针仪。电针仪型号较多，但作用原理基本相同<br>###适应范围::电针法的适应范围基本与毫针刺法相同，故临床上凡[[能应用毫针治疗]]的疾病，均可采用电针治疗，对某些疾病如痹证、中风后遗证、腰腿痛、胃下垂、麻痹、尿潴留等疗效更佳,
电针刺激参数,针灸学::刺灸法::电针法,1,刺激参数::[object Object],
电针波形及作用,针灸学::刺灸法::电针法,1,疏密波::疏密波是疏波和密波自动交替出现的一种波形，疏密交替持续的时间各约1.5秒，能克服单一波形易产生适应的缺点。[[临床常用于各种痛证、扭挫伤、关节周围炎、坐骨神经痛、面瘫、肌无力、瘫痪]]等<br>###连续波::连续波是连续、等幅的脉冲波形。有高频连续波（频率每秒在50～100次）和低频连续波（频率每秒在10～50次）两种。临床常用于各种痛证、针刺麻醉等<br>###断续波::断续波是时断时续的脉冲波形，是有节律地时断时续自动出现的一种疏波。断续波形，机体不易产生适应，其作用较连续波更为强烈。[[临床常用于痿证、瘫痪]],
电针操作要点及注意事项,针灸学::刺灸法::电针法,1,"操作要点::①选取适宜体位，穴位皮肤常规消毒，针刺得气后，再接电针仪,②先将电针仪的输出电位器调至零位，输出线的正负极分别接在两根毫针柄上,③打开电源，选好波形、频率，慢慢调节输出电流的强度至所需量,④治疗完毕，须先将输出电位器退回零位，再关闭电源，最后拆除导线，将毫针捻动几下后取出<br>###注意事项::①患有严重心脏病者，应慎用电针,②电针刺激量较大，须注意防止发生晕针,③正在使用直流电心脏起搏器的患者，不允许使用电针仪,④电针仪在使用前须检查性能是否良好，输出线路是否接触良好,⑤如电流输出时断时续，须注意导线接触是否良好,⑥注意电流强度的调节要从小到大，避免电刺激量过大发生折针,⑦靠近延髓、脊髓部位使用电针时，电流强度宜小，以避免发生心跳、呼吸抑制,⑧孕妇禁用电针",
电针法详细操作,针灸学::刺灸法::电针法,1,概念::将针刺入腧穴得气后，在针具上通以接近人体生物电的微量电流，利用针和电的两种刺激相结合，以治疗疾病的一种方法<br>###选穴方法::除按经络辨证、脏腑辨证取穴外，通常还可用于神经干通过处和肌肉神经运动点取穴，如：头面部取翳风（面神经）、下关（三叉神经）；上肢部取曲池（桡神经）、内关（正中神经）；下肢部取环跳（坐骨神经）、委中（胫神经）、阳陵泉（腓总神经）；腰骶部取气海俞（腰神经）、八髎（骶神经）<br>###取穴方法::针刺得气后方可通以电针，电针仪在使用前必须先将电流输出调节旋钮调至[['0'位]]，再将电针仪上每对输出的2个电极分别连接在2根毫针上，连接时一般负极接主穴，正极接配穴；如只需在某一单穴应用电针，可把一根导线接在针柄上，另一根导线接上用水浸湿的纱布，固定在同侧离针稍远的皮肤上<br>###治疗时间::一般每次持续通电15～20分钟，接通电针后患者可出现得气感或见肌肉节律性收缩。其间若患者由于产生适应性，感到电流减弱，可适当增加刺激强度，或采用间歇通电的方法，即断电1～2分钟后再行通电。电针刺完毕后，应先将电流输出旋钮退至[['0'位]]，然后关闭电源开关，取下导线，最后按常规起针方法将针取出,特点::电针操作强调从0开始调节电流强度
电针刺激参数详解,针灸学::刺灸法::电针法,1,电针刺激参数::电针刺激参数包括波型、波幅、波宽、频率和持续时间等，综合体现为刺激量<br>###连续波::连续波由基本脉冲波简单重复，中间没有停顿，频率连续可调，每分钟几十次至每秒钟几百次不等。一般频率低于30Hz的连续波叫疏波，频率高于30Hz的叫密波。[[密波]]易抑制感觉神经和运动神经，常用于止痛、镇静、缓解肌肉和血管痉挛等；[[疏波]]短时兴奋肌肉，提高肌肉韧带的张力，调节血管的舒缩功能，改善血液循环，促进神经肌肉功能的恢复，长时间使用则抑制感觉神经和运动神经，常用于治疗瘫痪、慢性疼痛以及各种肌肉、关节、韧带、肌腱的损伤等<br>###疏密波::疏密波是疏波、密波交替出现的一种波形，疏、密波交替持续的时间各约1.5秒。可克服单一波型易产生耐受现象的缺点，增强代谢，促进血液循环和淋巴循环，改善组织营养，消除炎性水肿等，[[常用于各种痛症、软组织损伤、关节周围炎、腰背筋膜劳损、面瘫、肌无力、针刺麻醉、局部冻伤；出血、气血运行障碍、坐骨神经痛等]],特点::不同频率的电刺激能促进不同中枢神经递质的释放
电针波幅、波宽、频率及适用范围,针灸学::刺灸法::电针法,1,波幅::波幅一般指脉冲电压或电流的最大值与最小值之差，也指它们从一种状态变化到另一种状态的跳变幅度值。电针的刺激强度主要取决于波幅的高低。波幅的计量单位是[[伏特（V）]]<br>###波宽::波宽指脉冲的持续时间，脉冲宽度与刺激强度亦相关，宽度越大意味着给患者的刺激量越大。临床使用的电针仪波宽大都固定不可调节，一般采用适合人体的输出脉冲宽度，为[[0.4毫秒左右]]<br>###频率::频率是指每秒钟内出现的脉冲个数，其单位是[[赫兹（Hz）]]。通过频率的调节可组合成不同的刺激波组。脉冲的频率不同，其治疗作用也不同。2Hz电刺激使脑脊液中脑啡肽和内啡肽的含量增高；100Hz电刺激使强啡肽含量增高；2/100Hz交替进行的疏密波可使内啡肽和强啡肽同时释放，二者协同发挥镇痛作用<br>###适用范围::①电针可调节人体的生理功能，有止痛、镇静、促进气血循环、调整肌张力等作用。电针的适用范围基本和毫针刺法相同，故其治疗范围较广。②临床常用于各种痛证、痹病和心、胃、肠、胆、膀胱、子宫等器官功能的调节以及肌肉、韧带、关节的损伤性疾病等，并可用于针刺麻醉，还可用于癫狂,特点::不同频率释放不同中枢神经递质
电针注意事项,针灸学::刺灸法::电针法,1,仪器检查::电针仪使用前必须检查其性能是否良好，输出是否正常<br>###调节电流::调节电流量应仔细，开机时应逐渐由小到大，切勿突然增大，以免发生意外<br>###禁忌人群::靠近延髓、脊髓等部位使用电针时，电流量宜小，不可强刺激，孕妇慎用电针，心脏病患者，应避免电流回路通过心脏，安装心脏起搏器者禁止使用电针<br>###针具注意::作为温针使用过的毫针，针柄表面往往氧化不导电，应用时须将输出线夹在毫针的针体上<br>###特殊人群::年老、体弱、醉酒、饥饿、过饱等，不宜用电针,特点::电针注意事项共5条
耳穴定位与主治——耳轮/耳舟,针灸学::刺灸法::耳针法,1,耳中::在耳轮脚处，即耳轮1区。[[主治]]：呃逆、荨麻疹、皮肤瘙痒症、小儿遗尿、咯血、出血性疾病<br>###外生殖器::在对耳轮下脚前方的耳轮处，即耳轮4区。[[主治]]：睾丸炎、附睾炎、外阴瘙痒症<br>###耳尖::在耳郭向前对折的上部尖端处，即耳轮6区、7区交界处。[[主治]]：发热、高血压、急性结膜炎、牙痛、失眠、睑腺炎<br>###风溪::在耳轮结节前方，指区与腕区之间，即耳舟1、2区交界处。[[主治]]：荨麻疹、皮肤瘙痒症、过敏性鼻炎、哮喘<br>###肘::在腕区的下方处，即耳舟3区。[[主治]]：肱骨外上髁炎、肘部疼痛<br>###肩::在肘区的下方处，即耳舟4、5区。[[主治]]：肩关节周围炎、肩部疼痛,特点::耳穴按分区定位，耳轮和耳舟为常用耳穴
耳穴定位与主治——对耳轮,针灸学::刺灸法::耳针法,1,跟::在对耳轮上脚前上部，即对耳轮1区。[[主治]]：足跟痛<br>###膝::在对耳轮上脚中1/3处，即对耳轮4区。[[主治]]：膝关节疼痛、坐骨神经痛<br>###坐骨神经::在对耳轮下脚的前2/3处，即对耳轮6区。[[主治]]：坐骨神经痛、下肢瘫痪<br>###交感::在对耳轮下脚前端与耳轮内缘交界处，即对耳轮6区前端。[[主治]]：胃肠痉挛、心绞痛、胆绞痛、输尿管结石、自主神经功能紊乱<br>###腰骶椎::在腹区后方，即对耳轮9区。[[主治]]：腰骶部疼痛,特点::对耳轮穴位主治下肢和腰骶部疾病
耳穴定位与主治——三角窝/耳屏,针灸学::刺灸法::耳针法,1,内生殖器::在三角窝前1/3的下部，即三角窝2区。[[主治]]：痛经、月经不调、白带过多、功能失调性子宫出血、阳痿、遗精、早泄<br>###神门::在三角窝后1/3的上部，即三角窝4区。[[主治]]：失眠、多梦、戒断综合征、癫痫、高血压、神经衰弱<br>###盆腔::在三角窝后1/3的下部，即三角窝5区。[[主治]]：盆腔炎、附件炎<br>###外鼻::在耳屏外侧面中部，即耳屏1、2区之间。[[主治]]：鼻前庭炎、鼻炎<br>###肾上腺::在耳屏游离缘下部尖端，即耳屏2区后缘处。[[主治]]：低血压、风湿性关节炎、腮腺炎、链霉素中毒、眩晕、哮喘、休克<br>###咽喉::在耳屏内侧面上1/2处，即耳屏3区。[[主治]]：声音嘶哑、咽炎、扁桃体炎、失语、哮喘<br>###内鼻::在耳屏内侧面下1/2处，即耳屏4区。[[主治]]：鼻炎、上颌窦炎、鼻衄,特点::三角窝主生殖系统，耳屏主鼻咽部疾病
